region,product_code,is_priority,avg_monthly_spend,satisfaction_score,churn_risk,lifetime_value
South,104,False,102.67,3.4,0,1175.0
West,103,False,68.43,2.6,0,722.0
East,101,True,139.22,1.2,1,1645.0
South,104,True,178.7,2.3,0,1244.0
North,104,True,210.09,4.2,0,728.0
North,103,True,152.96,1.0,0,1104.0
North,101,True,215.14,2.3,1,1694.0
West,103,False,94.8,2.6,1,445.0
East,101,True,81.86,3.1,1,2337.0
East,105,False,147.78,4.7,0,1449.0
North,102,False,165.36,2.4,1,1387.0
West,102,True,148.69,2.4,1,1619.0
West,102,False,67.3,4.0,0,2140.0
North,103,False,146.44,2.8,1,1156.0
North,105,True,97.82,1.9,0,1550.0
North,101,False,176.79,2.8,0,670.0
South,104,False,164.66,1.6,0,2793.0
South,101,False,112.4,1.7,0,1062.0
South,104,False,129.45,3.0,0,845.0
North,101,False,107.63,2.7,0,803.0
East,105,False,147.49,4.7,0,544.0
North,104,True,188.21,2.4,0,925.0
North,103,False,110.57,3.3,0,224.0
South,101,False,170.16,3.5,0,1792.0
South,101,False,128.79,1.1,0,1381.0
East,104,False,118.29,3.7,0,495.0
North,103,False,145.72,1.7,0,1135.0
South,103,False,108.59,4.8,0,987.0
South,105,False,127.85,1.6,1,573.0
North,103,False,102.08,2.7,0,934.0
East,103,False,228.59,1.3,0,1149.0
North,103,False,151.41,5.0,0,854.0
North,102,False,122.01,3.0,1,779.0
West,105,False,158.56,3.4,0,644.0
West,101,True,145.51,1.3,1,827.0
West,104,False,141.16,4.0,0,938.0
South,101,False,174.57,1.8,1,1455.0
North,105,False,180.3,4.6,0,2533.0
East,104,False,128.78,1.8,1,1966.0
South,105,False,126.97,1.8,0,1060.0
North,103,False,139.0,1.1,0,661.0
South,104,True,57.92,2.9,0,1627.0
North,103,False,89.39,3.3,0,1458.0
West,101,True,204.67,1.3,0,2252.0
North,101,False,215.8,4.1,1,1483.0
East,104,False,140.04,2.8,1,2688.0
South,104,False,173.06,3.1,0,1317.0
South,105,False,162.45,2.8,0,966.0
South,105,False,273.16,2.6,0,1276.0
North,103,False,194.78,3.2,0,1652.0
West,104,False,144.88,1.6,0,749.0
East,101,False,111.78,1.7,0,2771.0
West,105,False,85.74,4.4,0,1324.0
West,105,False,158.14,4.8,0,1151.0
South,101,False,119.75,2.5,0,1064.0
West,105,False,93.11,2.1,0,936.0
North,103,True,124.14,3.6,0,390.0
North,104,False,106.74,2.6,0,707.0
North,101,True,217.49,1.1,1,2695.0
South,104,False,185.27,1.6,0,1326.0
South,105,False,149.68,3.9,0,2105.0
North,105,False,209.2,3.6,0,2258.0
West,101,False,153.09,1.1,0,1198.0
South,103,True,115.55,1.9,1,1447.0
North,102,True,210.92,1.9,0,560.0
South,101,False,171.56,3.7,0,2533.0
North,102,False,108.51,1.1,0,2192.0
West,102,True,142.39,1.4,1,1411.0
North,103,True,114.98,4.2,1,1303.0
West,102,False,94.69,1.7,0,938.0
East,102,True,187.05,3.6,0,2230.0
North,103,False,226.38,2.0,0,1761.0
North,102,False,94.06,1.4,1,717.0
West,102,True,172.52,2.0,0,555.0
East,102,True,123.97,3.9,1,612.0
East,101,False,130.51,4.4,0,2170.0
East,101,False,126.3,4.3,0,1172.0
North,101,False,115.44,2.6,0,1409.0
South,103,False,151.94,3.7,0,1069.0
North,105,False,116.76,1.8,0,494.0
West,102,False,160.82,2.2,0,485.0
East,102,False,147.99,4.6,0,984.0
South,103,False,140.44,1.1,0,796.0
North,102,True,113.7,1.3,0,853.0
South,101,False,126.93,1.8,0,807.0
South,105,False,180.22,1.1,1,3318.0
East,104,False,170.04,1.7,1,2112.0
East,102,False,110.9,3.3,1,1213.0
West,101,True,153.97,2.7,1,1058.0
South,104,False,180.06,4.6,0,1132.0
North,105,True,83.22,4.3,0,1561.0
East,104,False,171.73,2.4,0,1223.0
East,101,True,123.5,2.0,0,1920.0
South,104,True,172.82,2.5,0,1581.0
East,103,True,119.47,3.4,1,3346.0
South,104,False,77.8,2.1,0,873.0
South,102,False,84.9,3.5,0,1975.0
South,102,False,151.92,2.6,0,611.0
North,103,False,160.39,3.2,0,734.0
North,101,False,113.83,2.7,0,3085.0
North,102,False,175.54,2.2,0,1720.0
East,105,False,83.54,4.8,1,1430.0
South,102,True,147.36,4.1,0,3830.0
South,102,False,101.56,1.6,0,1028.0
West,101,True,123.93,4.5,1,2057.0
North,104,False,151.9,2.9,1,2282.0
South,102,True,115.58,4.6,1,2658.0
East,103,False,134.62,4.2,1,591.0
North,104,False,190.25,2.7,0,1009.0
North,105,False,126.92,1.1,0,1323.0
North,101,True,183.43,2.1,0,2608.0
North,105,False,104.81,3.2,0,1421.0
West,104,False,171.19,3.5,0,2208.0
West,104,False,207.66,2.0,0,756.0
East,104,False,51.13,1.6,0,711.0
West,105,False,118.12,4.3,0,2212.0
West,104,False,173.08,4.9,0,1148.0
North,105,False,141.88,3.1,0,1005.0
West,104,False,164.85,1.7,0,2532.0
South,103,False,125.84,2.1,0,526.0
West,104,True,153.46,1.1,1,932.0
